Name,Category,One Line Description,Authentication,Credential Availability,Public API,REST,GraphQL,Webhook Support,API Breadth,MCP Availability,Toolkit Buildability,Primary Blocker,Evidence URL,Confidence,Buildability Score,Needs Human Review,Docs URL,Developer Portal URL,Auth Docs URL,Pricing URL
Pinterest,"Marketing, Ads, Email and Social","Visual discovery, sharing, and social media marketing platform.","OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://developers.pinterest.com/docs/api/v5/,100.0,85.0,False,https://developers.pinterest.com/docs/api/v5/,https://developers.pinterest.com,https://developers.pinterest.com/docs/api/v5/#tag/authentication,https://ads.pinterest.com/
Threads (Meta),"Marketing, Ads, Email and Social",Social media API platform for publishing and retrieving Threads content.,"OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Limited,No,High,None identified,https://developers.facebook.com/docs/threads,80.0,80.0,True,https://developers.facebook.com/docs/threads,https://developers.facebook.com,https://developers.facebook.com/docs/threads/getting-started,https://threads.net
SendGrid,"Marketing, Ads, Email and Social",Cloud-based customer communication platform for transactional and marketing email.,"API Key, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://docs.sendgrid.com/api-reference,100.0,95.0,False,https://docs.sendgrid.com/api-reference,https://app.sendgrid.com,https://docs.sendgrid.com/for-developers/sending-email/api-keys,https://sendgrid.com/pricing
Shopify,Ecommerce,Multi-channel cloud commerce platform for online stores and POS systems.,"OAuth2, API Key",Available via developer portal,Yes,Yes,Yes,Yes,Comprehensive,Yes,High,None identified,https://shopify.dev/docs/api/admin-rest,100.0,100.0,False,https://shopify.dev/docs/api/admin-rest,https://partners.shopify.com,https://shopify.dev/docs/apps/auth,https://www.shopify.com/pricing
WooCommerce,Ecommerce,"Open-source, highly customizable ecommerce plugin for WordPress.","API Key, Basic Auth",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://woocommerce.github.io/woocommerce-rest-api-docs/,100.0,95.0,False,https://woocommerce.github.io/woocommerce-rest-api-docs/,https://woocommerce.com,https://woocommerce.github.io/woocommerce-rest-api-docs/#authentication,https://woocommerce.com/pricing
BigCommerce,Ecommerce,"Flexible, open SaaS ecommerce platform for scaling businesses.","OAuth2, API Key",Available via developer portal,Yes,Yes,Yes,Yes,Comprehensive,Yes,High,None identified,https://developer.bigcommerce.com/api-reference,100.0,100.0,False,https://developer.bigcommerce.com/api-reference,https://devtools.bigcommerce.com,https://developer.bigcommerce.com/docs/start/authentication,https://www.bigcommerce.com/pricing
Salesforce Commerce Cloud,Ecommerce,Cloud-based ecommerce platform tailored for enterprise scale.,"OAuth2, JWT",Gated/Requires sales outreach,Yes,Yes,No,Yes,Comprehensive,No,Low,Requires enterprise contracts and complex environment setup,https://developer.salesforce.com/docs/commerce/commerce-api/overview,80.0,35.0,True,https://developer.salesforce.com/docs/commerce/commerce-api/overview,https://developer.salesforce.com,https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization.html,https://www.salesforce.com/products/commerce/
Magento (Adobe Commerce),Ecommerce,Highly scalable enterprise ecommerce software powered by Adobe.,"Bearer Token, OAuth2, API Key",Available via developer portal,Yes,Yes,Yes,Yes,Comprehensive,No,High,None identified,https://developer.adobe.com/commerce/webapi/,100.0,85.0,False,https://developer.adobe.com/commerce/webapi/,https://developer.adobe.com,https://developer.adobe.com/commerce/webapi/get-started/authentication/,https://business.adobe.com/products/magento/pricing.html
Squarespace,Ecommerce,Website building and hosting platform offering API commerce integrations.,API Key,Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,Requires active commercial site subscription to generate keys,https://developers.squarespace.com/commerce-api,80.0,75.0,True,https://developers.squarespace.com/commerce-api,https://developers.squarespace.com,https://developers.squarespace.com/commerce-api/authentication,https://www.squarespace.com/pricing
Ecwid,Ecommerce,SaaS ecommerce solution for adding shop modules to existing websites.,OAuth2,Available via developer portal,Yes,Yes,No,Yes,Moderate,No,High,None identified,https://api-docs.ecwid.com,100.0,85.0,False,https://api-docs.ecwid.com,https://my.ecwid.com,https://api-docs.ecwid.com/reference/authentication,https://www.ecwid.com/pricing
Gumroad,Ecommerce,Simple direct-to-creator ecommerce utility and purchasing API.,"OAuth2, API Key",Available via developer portal,Yes,Yes,No,No,Limited,No,Medium,None identified,https://gumroad.com/api,100.0,70.0,False,https://gumroad.com/api,https://gumroad.com/settings/advanced,https://gumroad.com/api#authentication,https://gumroad.com/pricing
Amazon Selling Partner,Ecommerce,Suite of APIs helping sellers automate operations on Amazon marketplaces.,"OAuth2, Custom",Gated/Requires sales outreach,Yes,Yes,No,No,Comprehensive,No,Low,Requires verified Amazon Seller Account and AWS IAM signature configurations,https://developer-docs.amazon.com/sp-api,100.0,25.0,True,https://developer-docs.amazon.com/sp-api,https://sellercentral.amazon.com,https://developer-docs.amazon.com/sp-api/docs/authorization-and-authentication,https://sell.amazon.com/pricing
fanbasis,Ecommerce,Digital creator interaction and monetization hub.,API Key,Gated/Requires sales outreach,No,No,No,No,Limited,No,Low,No documented public API available for developer sign-ups,https://fanbasis.com,100.0,20.0,True,https://fanbasis.com,https://fanbasis.com,https://fanbasis.com,https://fanbasis.com
DataForSEO,"Data, SEO and Scraping","Structured search engine optimization API for keyword, SERP, and SEO data.","Basic Auth, API Key",Available via developer portal,Yes,Yes,No,No,Comprehensive,No,Medium,None identified,https://docs.dataforseo.com,100.0,65.0,False,https://docs.dataforseo.com,https://my.dataforseo.com,https://docs.dataforseo.com/#authentication,https://dataforseo.com/pricing
SE Ranking,"Data, SEO and Scraping",All-in-one SEO platform offering search ranking APIs.,"API Key, Bearer Token",Available via developer portal,Yes,Yes,No,No,Moderate,No,Medium,Requires a paid plan to use API endpoints,https://seranking.com/api.html,100.0,65.0,False,https://seranking.com/api.html,https://seranking.com,https://seranking.com/api.html,https://seranking.com/pricing.html
Ahrefs,"Data, SEO and Scraping",Enterprise SEO tool provider with ranking indexes and search data APIs.,"Bearer Token, OAuth2",Available via developer portal,Yes,Yes,No,No,Comprehensive,No,Medium,Requires enterprise plan subscription,https://ahrefs.com/api,100.0,70.0,False,https://ahrefs.com/api,https://ahrefs.com/dev,https://ahrefs.com/api/documentation,https://ahrefs.com/pricing
MrScraper,"Data, SEO and Scraping",Visual web scraper and automated scraping crawler host.,API Key,Available via developer portal,Yes,Yes,No,Yes,Limited,No,High,None identified,https://docs.mrscraper.com,100.0,80.0,False,https://docs.mrscraper.com,https://mrscraper.com,https://docs.mrscraper.com,https://mrscraper.com#pricing
Apify,"Data, SEO and Scraping","Cloud platform for web scraping, data extraction, and robotic process automation.","API Key, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://docs.apify.com/api/v2,100.0,95.0,False,https://docs.apify.com/api/v2,https://console.apify.com,https://docs.apify.com/api/v2#/introduction/authentication,https://apify.com/pricing
Firecrawl,"Data, SEO and Scraping",Web scraping engine that turns pages into clean Markdown for LLMs.,API Key,Available via developer portal,Yes,Yes,No,No,Limited,Yes,High,None identified,https://docs.firecrawl.dev,100.0,80.0,False,https://docs.firecrawl.dev,https://www.firecrawl.dev,https://docs.firecrawl.dev/api-reference/endpoint/scrape,https://www.firecrawl.dev/pricing
Bright Data,"Data, SEO and Scraping",Global proxy server network and structured web scraping API provider.,API Key,Available via developer portal,Yes,Yes,No,No,Moderate,No,Medium,Requires KYC verification and balance top-ups,https://brightdata.com,100.0,65.0,False,https://brightdata.com,https://brightdata.com,https://brightdata.com,https://brightdata.com/pricing
Sherlock,"Data, SEO and Scraping",Open-source CLI tool and API for scanning usernames across social sites.,None,Available via developer portal,Yes,No,No,No,Limited,No,Medium,"Open source CLI tool, not a hosted API service",https://github.com/sherlock-project/sherlock,100.0,50.0,False,https://github.com/sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,https://github.com/sherlock-project/sherlock#installation,https://github.com/sherlock-project/sherlock
Waterfall.io,"Data, SEO and Scraping",Contact data and company intelligence provider.,API Key,Gated/Requires sales outreach,No,No,No,No,Limited,No,Low,No documented public API available for developer sign-ups,https://waterfall.io,100.0,20.0,True,https://waterfall.io,https://waterfall.io,https://waterfall.io,https://waterfall.io
Clay,"Data, SEO and Scraping",Data enrichment and outbound platform that integrates multiple databases.,API Key,Available via developer portal,Yes,Yes,No,No,Limited,No,Medium,None identified,https://clay.com,100.0,65.0,False,https://clay.com,https://app.clay.com,https://clay.com,https://clay.com/pricing
GitHub,"Developer, Infra and Data platforms",Collaborative hosting service for software repositories and git operations.,"OAuth2, API Key, Basic Auth",Available via developer portal,Yes,Yes,Yes,Yes,Comprehensive,Yes,High,None identified,https://docs.github.com/en/rest,100.0,100.0,False,https://docs.github.com/en/rest,https://github.com/settings/developers,https://docs.github.com/en/rest/overview/authenticating-to-the-rest-api,https://github.com/pricing
Vercel,"Developer, Infra and Data platforms",Frontend hosting and deployment architecture utility.,"Bearer Token, OAuth2",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://vercel.com/docs/rest-api,100.0,100.0,False,https://vercel.com/docs/rest-api,https://vercel.com/dashboard,https://vercel.com/docs/rest-api#authentication,https://vercel.com/pricing
Netlify,"Developer, Infra and Data platforms",Serverless hosting platform and automation portal for web applications.,"OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://docs.netlify.com/api/v1/,80.0,95.0,True,https://docs.netlify.com/api/v1/,https://app.netlify.com,https://docs.netlify.com/api/v1/#authentication,https://www.netlify.com/pricing/
Cloudflare,"Developer, Infra and Data platforms","Network security, infrastructure, and Edge serverless platform.","API Key, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://developers.cloudflare.com/api/,100.0,95.0,False,https://developers.cloudflare.com/api/,https://dash.cloudflare.com,https://developers.cloudflare.com/api/fundamentals/api-tokens/,https://www.cloudflare.com/plans/
Supabase,"Developer, Infra and Data platforms",Open source Firebase alternative built on top of Postgres databases.,"API Key, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://supabase.com/docs,100.0,95.0,False,https://supabase.com/docs,https://supabase.com/dashboard,https://supabase.com/docs/guides/api#securing-your-api,https://supabase.com/pricing
Neo4j,"Developer, Infra and Data platforms",Graph database engine with cloud access and analytics APIs.,"Basic Auth, API Key",Available via developer portal,Yes,Yes,No,No,Moderate,No,Medium,None identified,https://neo4j.com/docs/api/,80.0,60.0,True,https://neo4j.com/docs/api/,https://neo4j.com/cloud,https://neo4j.com/docs/api/http-api/current/#auth,https://neo4j.com/pricing
Snowflake,"Developer, Infra and Data platforms",Cloud-based data warehouse and SQL query engine API host.,"OAuth2, JWT, Basic Auth",Available via developer portal,Yes,Yes,No,No,Comprehensive,Yes,High,None identified,https://docs.snowflake.com/en/developer-guide/sql-api,100.0,85.0,False,https://docs.snowflake.com/en/developer-guide/sql-api,https://app.snowflake.com,https://docs.snowflake.com/en/developer-guide/sql-api/authenticating,https://www.snowflake.com/en/pricing/
MongoDB Atlas,"Developer, Infra and Data platforms",Cloud-hosted MongoDB database service with administrative APIs.,"API Key, Basic Auth",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,No,High,None identified,https://mongodb.com/docs/atlas/api/v2/,80.0,75.0,True,https://mongodb.com/docs/atlas/api/v2/,https://cloud.mongodb.com,https://www.mongodb.com/docs/atlas/api/v2-spec/#tag/Authentication,https://www.mongodb.com/pricing
Datadog,"Developer, Infra and Data platforms",Monitoring and security platform for cloud-scale infrastructure.,API Key,Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://docs.datadoghq.com/api/,100.0,95.0,False,https://docs.datadoghq.com/api/,https://app.datadoghq.com,https://docs.datadoghq.com/api/latest/security/,https://www.datadoghq.com/pricing/
Sentry,"Developer, Infra and Data platforms",Developer-first error tracking and software crash analytics platform.,Bearer Token,Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://docs.sentry.io/api/,100.0,90.0,False,https://docs.sentry.io/api/,https://sentry.io/settings/account/api/,https://docs.sentry.io/api/auth/,https://sentry.io/pricing/
Notion,Productivity and Project Management,"Customizable wiki, document, and workspace management utility.","OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,No,Comprehensive,Yes,High,None identified,https://developers.notion.com/,100.0,85.0,False,https://developers.notion.com/,https://www.notion.so/my-integrations,https://developers.notion.com/docs/authorization,https://www.notion.so/pricing
Airtable,Productivity and Project Management,Low-code database and collaborative spreadsheet utility.,"OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://airtable.com/developers/web/api,100.0,100.0,False,https://airtable.com/developers/web/api,https://airtable.com/create/tokens,https://airtable.com/developers/web/api/introduction#authentication,https://airtable.com/pricing
Linear,Productivity and Project Management,Issue tracking tool designed for high-performance software engineering teams.,"OAuth2, API Key",Available via developer portal,Yes,No,Yes,Yes,Comprehensive,Yes,High,None identified,https://developers.linear.app/,100.0,100.0,False,https://developers.linear.app/,https://linear.app/settings/api,https://developers.linear.app/docs/graphql/working-with-the-api#authentication,https://linear.app/pricing
Jira,Productivity and Project Management,Project management and issue tracker software for agile teams.,"OAuth2, Basic Auth",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/,100.0,100.0,False,https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/,https://developer.atlassian.com,https://developer.atlassian.com/cloud/jira/platform/jira-rest-api-oauth-2-3lo-apps/,https://www.atlassian.com/software/jira/pricing
Asana,Productivity and Project Management,Work management tool to help teams orchestrate projects and tasks.,"OAuth2, Bearer Token",Available via developer portal,Yes,Yes,No,Yes,Comprehensive,Yes,High,None identified,https://developers.asana.com/docs,100.0,100.0,False,https://developers.asana.com/docs,https://app.asana.com/0/developer-console,https://developers.asana.com/docs/authentication,https://asana.com/pricing
Monday.com,Productivity and Project Management,Work operating system that enables teams to build custom workflows.,"OAuth2, API Key",Available via developer portal,Yes,No,Yes,Yes,Comprehensive,Yes,High,None identified,https://developer.monday.com/api-reference,100.0,100.0,False,https://developer.monday.com/api-reference,https://developer.monday.com,https://developer.monday.com/api-reference/docs/authentication,https://monday.com/pricing
